"","p","n","cor","pval"
"1007",5,200,0,0.691
"1008",5,200,0,0.874
"1009",5,200,0,0.781
"1010",5,200,0,0.413
"1011",5,200,0,0.951
"1012",5,200,0,0.639
"1013",5,200,0,0.245
"1014",5,200,0,0.835
"1015",5,200,0,0.621
"1016",5,200,0,0.673
"1017",5,200,0,0.709
"1018",5,200,0,0.36
"1019",5,200,0,0.362
"1020",5,200,0,0.998
"1021",5,200,0,0.635
"1022",5,200,0,0.495
"1023",5,200,0,0.466
"1024",5,200,0,0.651
"1025",5,200,0,0.63
"1026",5,200,0,0.257
"1027",5,200,0,0.198
"1028",5,200,0,0.73
"1029",5,200,0,0.139
"1030",5,200,0,0.556
"1031",5,200,0,0.481
"1032",5,200,0,0.795
"1033",5,200,0,0.347
"1034",5,200,0,0.04
"1035",5,200,0,0.552
"1036",5,200,0,0.383
"1037",5,200,0,0.57
"1038",5,200,0,0.081
"1039",5,200,0,0.43
"1040",5,200,0,0.651
"1041",5,200,0,0.602
"1042",5,200,0,0.088
"1043",5,200,0,0.0610000000000001
"1044",5,200,0,0.828
"1045",5,200,0,0.0600000000000001
"1046",5,200,0,0.094
"1047",5,200,0,0.201
"1048",5,200,0,0.594
"1049",5,200,0,0.407
"1050",5,200,0,0.797
"1051",5,200,0,0.718
"1052",5,200,0,0.859
"1053",5,200,0,0.866
"1054",5,200,0,0.198
"1055",5,200,0,0.532
"1056",5,200,0,0.076
"1057",5,200,0,0.556
